Wavelength [um],Blue,Green,Red,NIR,Pan
0.693,6.63028E-06,8.0619E-05,0.036139594,3.71E-05,0.351324911
0.694,9.47126E-06,7.57067E-05,0.023850219,3.38E-05,0.350145822
0.695,1.08596E-05,9.73599E-05,0.015906247,2.08E-05,0.349100826
0.696,7.16E-06,0.000119268,0.010859495,1.68E-05,0.348018787
0.697,1.60E-05,0.000137966,0.007629529,2.18E-05,0.346957921
0.698,1.24E-05,0.00016856,0.005465841,1.26E-05,0.345428118
0.699,8.65E-06,0.000170683,0.00403079,1.53E-05,0.344042013
0.7,1.15E-05,0.000193318,0.003052294,1.24E-05,0.3431017
0.701,9.92E-06,0.000199068,0.002336742,2.52E-05,0.341987622
0.702,1.90E-05,0.000213998,0.001819837,3.01E-05,0.340955121
0.703,1.96E-05,0.000227402,0.001423309,2.88E-05,0.339891702
0.704,1.81E-05,0.000217026,0.001117541,2.57E-05,0.338795199
0.705,3.07E-05,0.000224851,0.000900764,1.27E-05,0.338317743
0.706,2.80E-05,0.000235739,0.000718344,2.22E-05,0.338258805
0.707,3.34E-05,0.000233814,0.000580795,3.37E-05,0.337561488
0.708,4.52E-05,0.000233982,0.000471773,2.86E-05,0.33761125
0.709,4.77E-05,0.000233666,0.000390851,3.34E-05,0.337747291
0.71,5.46E-05,0.000237205,0.000343262,4.49E-05,0.337696186
0.711,5.46E-05,0.000237325,0.000294848,5.45E-05,0.337780644
0.712,5.85E-05,0.000240045,0.000258321,5.24E-05,0.337342071
0.713,6.00E-05,0.000251266,0.000230207,5.43E-05,0.337196927
0.714,6.19E-05,0.000252055,0.000202734,6.32E-05,0.336839191
0.715,7.04E-05,0.000261121,0.000186652,7.81E-05,0.336339201
0.716,7.82E-05,0.000274084,0.000154381,1.02E-04,0.33630185
0.717,8.28E-05,0.000287068,0.000139419,1.13E-04,0.336120379
0.718,8.00E-05,0.000308782,0.000129711,1.23E-04,0.335034019
0.719,8.15E-05,0.000313187,0.000116342,1.55E-04,0.334257541
0.72,8.49808E-05,0.000313997,0.000108799,1.90E-04,0.33296746
0.721,7.9376E-05,0.000326706,8.84917E-05,2.37E-04,0.332072618
0.722,8.50393E-05,0.000330649,8.0578E-05,3.10E-04,0.331498658
0.723,8.38816E-05,0.000347972,8.12E-05,0.000398168,0.330653315
0.724,7.89843E-05,0.000346435,7.01E-05,0.000513789,0.329879703
0.725,7.90829E-05,0.000336693,6.76E-05,0.000664217,0.329272011
0.726,6.37531E-05,3.38E-04,5.69E-05,0.000877027,0.328500841
0.727,5.9201E-05,3.09E-04,4.90E-05,0.00117697,0.327569361
0.728,6.03279E-05,2.84E-04,5.09E-05,0.001588994,0.326494408
0.729,5.13311E-05,2.73E-04,5.57E-05,0.002179936,0.3253915
0.73,5.69164E-05,2.57E-04,6.26E-05,0.003039558,0.324780374
0.731,4.5572E-05,2.39E-04,5.21E-05,0.004331138,0.323829186
0.732,4.11672E-05,2.23E-04,4.51E-05,0.006329419,0.322461032
0.733,5.0628E-05,2.14E-04,4.57E-05,0.009420671,0.320924967
0.734,4.5614E-05,1.96E-04,3.68542E-05,0.014223282,0.319486597
0.735,5.09345E-05,0.000181424,4.45661E-05,0.021544792,0.318032512
0.736,6.74888E-05,0.000184451,4.30159E-05,0.032157773,0.316861588
0.737,9.43627E-05,0.000178162,3.7599E-05,0.046574569,0.315894965
0.738,0.000124639,0.000172999,3.96216E-05,0.064514039,0.314778792
0.739,0.000140672,0.00018712,2.84457E-05,0.08522099,0.313719804
0.74,0.000162869,0.000202272,2.52291E-05,0.107963914,0.312793078
0.741,0.000172869,0.000222561,2.73129E-05,0.131951958,0.311659185
0.742,0.000168732,0.000253411,3.30451E-05,0.15727799,0.310829787
0.743,0.000172651,0.000298671,3.58202E-05,0.183835556,0.310112945
0.744,0.000175411,0.000350502,2.59617E-05,0.211072617,0.309304348
0.745,0.000186218,0.000404188,3.00577E-05,0.237716813,0.30825623
0.746,0.000190822,0.000467018,3.1216E-05,0.261352742,0.306952878
