Wavelength [um],Blue,Green,Red,Red Edge,NIR
0.50200001,0.967005573,0.000116866,0.000929397,0.000110926,0.000177507
0.50250001,0.967921616,0.000126076,0.00074666,0.000155643,0.000268466
0.50300001,0.96989936,0.000136192,0.000501228,6.61E-05,0.000379241
0.50350001,0.97643602,0.000149999,0.000252664,5.21E-05,0.000560977
0.50400001,0.98389615,0.000165096,3.08E-05,5.06E-05,0.000731459
0.50450001,0.992550987,0.000184335,3.41E-06,4.98E-05,0.000741099
0.50500001,1,0.000205457,6.44E-06,5.00E-05,0.000709369
0.50550001,0.998469627,0.000233907,4.63E-06,5.63E-05,0.000579676
0.50600001,0.994518117,0.000265218,2.19E-06,6.47E-05,0.000438995
0.50650001,0.984490472,0.000306641,1.43E-06,8.00E-05,0.000341048
0.50700001,0.976383234,0.000352481,9.67E-07,9.48E-05,0.000253547
0.50750001,0.986989458,0.00041524,7.07E-07,9.82E-05,0.000197214
0.50800001,0.998518148,0.000485078,4.92E-07,9.81E-05,0.000147989
0.50850001,0.996471325,0.000581498,3.74E-07,8.62E-05,0.000117191
0.50900001,0.95860218,0.000689817,2.77E-07,7.32E-05,9.06E-05
0.50950001,0.708028937,0.000845156,2.19E-07,6.72E-05,7.46E-05
0.51000001,0.437150639,0.001019922,1.70E-07,6.31E-05,6.09E-05
0.51050001,0.257990699,0.00126893,1.40E-07,6.51E-05,5.28E-05
0.51100001,0.108825931,0.001552223,1.15E-07,6.81E-05,4.60E-05
0.51150001,0.059574857,0.00197718,1.00E-07,7.12E-05,4.24E-05
0.51200001,0.029017988,0.002466169,8.75E-08,7.29E-05,3.95E-05
0.51250001,0.017296187,0.003216993,7.99E-08,6.52E-05,3.87E-05
0.51300001,0.009241838,0.004091618,7.35E-08,5.58E-05,3.85E-05
0.51350001,0.005864317,0.005485241,6.99E-08,4.57E-05,4.04E-05
0.51400001,0.00342255,0.007132998,6.70E-08,3.59E-05,4.31E-05
0.51450001,0.002288633,0.009866291,6.53E-08,2.98E-05,4.88E-05
0.51500001,0.001426647,0.013152374,6.38E-08,2.44E-05,5.60E-05
0.51550001,0.000995241,0.01884649,6.25E-08,2.11E-05,6.89E-05
0.51600001,0.000655813,0.025813221,6.11E-08,1.81E-05,8.53E-05
0.51650001,0.000473504,0.038421744,5.94E-08,1.59E-05,0.000116577
0.51700001,0.000325755,0.054111174,5.76E-08,1.39E-05,0.000159287
0.51750001,0.000241745,0.083661234,5.59E-08,1.24E-05,0.000257776
0.51800001,0.000172205,0.120523154,5.43E-08,1.11E-05,0.000393916
0.51850001,0.000131355,0.189741574,5.41E-08,1.02E-05,0.000715827
0.51900001,9.70E-05,0.271762308,5.43E-08,9.56E-06,0.001718607
0.51950001,7.57E-05,0.402045868,5.63E-08,9.34E-06,0.006840206
0.52000001,5.75E-05,0.538727852,5.91E-08,9.25E-06,0.011290544
0.52050001,4.58E-05,0.667033467,6.53E-08,9.62E-06,0.006791175
0.52100001,3.57E-05,0.783505983,7.32E-08,1.02E-05,0.001479294
0.52150001,2.90E-05,0.833457437,8.79E-08,1.13E-05,0.000603434
0.52200001,2.31E-05,0.867987565,1.07E-07,1.26E-05,0.000443686
0.52250001,1.91E-05,0.87155926,1.43E-07,1.48E-05,0.000317105
0.52300001,1.56E-05,0.869982367,1.91E-07,1.74E-05,0.000202524
0.52350001,1.31E-05,0.866711924,2.88E-07,2.17E-05,0.000152191
0.52400001,1.08E-05,0.863863569,3.89E-07,2.68E-05,0.000114198
0.52450001,9.28E-06,0.865338482,4.60E-07,3.63E-05,9.27E-05
0.52500001,7.87E-06,0.86757789,5.05E-07,4.82E-05,7.47E-05
0.52550001,6.82E-06,0.87033941,4.19E-07,7.15E-05,6.41E-05
0.52600001,5.87E-06,0.873073392,3.15E-07,0.000116962,5.51E-05
0.52650001,5.17E-06,0.87512323,2.47E-07,0.000291168,5.00E-05
0.52700001,4.53E-06,0.876774178,1.89E-07,0.000483117,4.57E-05
0.52750001,4.05E-06,0.876582366,1.56E-07,0.00064143,4.34E-05
0.52800001,3.61E-06,0.876001977,1.30E-07,0.000743343,4.16E-05
0.52850001,3.27E-06,0.874783615,1.11E-07,0.000508325,4.14E-05
0.52900001,2.97E-06,0.873473261,9.46E-08,0.000246821,4.17E-05
0.52950001,2.73E-06,0.872155161,8.12E-08,0.000182745,4.35E-05
0.53000001,2.51E-06,0.871049135,6.87E-08,0.000153924,4.59E-05
0.53050001,2.35E-06,0.871117971,5.91E-08,0.000150562,5.04E-05
0.53100001,2.19E-06,0.871510991,5.02E-08,0.000157073,5.58E-05
0.53150001,2.09E-06,0.872605175,4.40E-08,0.000201228,6.41E-05
0.53200001,1.99E-06,0.873875516,3.86E-08,0.000249005,7.40E-05
0.53250001,1.92E-06,0.875495725,3.54E-08,0.000284401,9.02E-05
0.53300001,1.85E-06,0.877180734,3.28E-08,0.000741536,0.000109485
0.53350001,1.82E-06,0.878897867,3.19E-08,0.003893966,0.000140901
0.53400001,1.80E-06,0.880502768,3.16E-08,0.006657275,0.000178358
0.53450001,1.80E-06,0.881352183,3.30E-08,0.003909177,0.000239667
0.53500001,1.80E-06,0.882034083,3.51E-08,0.000668355,0.000309891
0.53550001,1.84E-06,0.882404131,3.96E-08,0.000197211,0.000407917
0.53600001,1.90E-06,0.882673564,4.52E-08,0.000168126,0.000507256
0.53650001,1.99E-06,0.882604219,5.52E-08,0.000122106,0.000578941
0.53700001,2.10E-06,0.882429876,6.74E-08,7.62E-05,0.000634848
0.53750001,2.26E-06,0.881901894,8.85E-08,5.91E-05,0.0006134
0.53800001,2.45E-06,0.881327314,1.17E-07,4.75E-05,0.000574507
0.53850001,2.76E-06,0.880747517,1.78E-07,4.23E-05,0.000505884
0.53900001,3.12E-06,0.880324552,2.26E-07,3.87E-05,0.000433437
0.53950001,3.70E-06,0.880745845,1.53E-07,3.87E-05,0.00037237
0.54000001,4.40E-06,0.881358624,4.69E-07,4.01E-05,0.00031518
0.54050001,5.63E-06,0.881973196,3.32E-06,4.61E-05,0.000275572
0.54100001,7.29E-06,0.882775239,1.06E-06,5.45E-05,0.000240589
0.54150001,1.12E-05,0.884398281,2.43E-06,7.34E-05,0.000220099
0.54200001,1.63E-05,0.886239777,3.82E-06,0.000102202,0.000203746
0.54250001,2.77E-05,0.888475231,0.000563079,0.000182154,0.000200592
0.54300001,8.08E-05,0.890725871,0.001059092,0.00029323,0.000202462
0.54350001,0.000390626,0.892594334,0.000572704,0.000543715,0.000223272
0.54400001,0.000653606,0.894361245,4.12E-06,0.000762499,0.000252499
0.54450001,0.000360134,0.895822318,2.62E-06,0.000616591,0.000315658
0.54500001,2.57E-05,0.897118057,1.08E-06,0.000425542,0.000451831
0.54550001,1.67E-05,0.897644286,3.60E-06,0.000334173,0.001014479
0.54600001,7.64E-06,0.89807041,5.78E-07,0.00026678,0.001589139
0.54650001,6.67E-06,0.898611947,2.90E-07,0.000256241,0.001758806
0.54700001,3.57E-06,0.899049445,4.33E-07,0.000305863,0.001754538
0.54750001,2.62E-06,0.898673343,4.25E-07,0.00068099,0.001048034
0.54800001,2.05E-06,0.898247688,3.97E-07,0.001020718,0.000312528
0.54850001,1.66E-06,0.898253049,3.98E-07,0.000773263,0.000164214
0.54900001,1.32E-06,0.898484242,4.03E-07,0.000444885,0.000112818
0.54950001,1.11E-06,0.899529341,4.10E-07,0.000223183,8.37E-05
0.55000001,9.15E-07,0.900845872,4.16E-07,4.07E-05,5.96E-05
0.55050001,7.80E-07,0.902616432,4.18E-07,1.27E-05,4.81E-05
0.55100001,6.60E-07,0.904602102,4.19E-07,9.34E-06,3.92E-05
0.55150001,5.72E-07,0.907039417,4.22E-07,6.13E-06,3.40E-05
0.55200001,4.92E-07,0.909582076,4.27E-07,3.14E-06,2.96E-05
0.55250001,4.33E-07,0.912131706,4.44E-07,2.06E-06,2.67E-05
0.55300001,3.79E-07,0.914705205,4.68E-07,1.33E-06,2.40E-05
0.55350001,3.39E-07,0.917322082,5.20E-07,9.55E-07,2.19E-05
0.55400001,3.04E-07,0.919900473,5.86E-07,6.58E-07,1.98E-05
0.55450001,2.79E-07,0.922133991,7.14E-07,5.03E-07,1.79E-05
0.55500001,2.57E-07,0.924197222,8.69E-07,3.76E-07,1.60E-05
0.55550001,2.42E-07,0.925500788,1.12E-06,3.03E-07,1.42E-05
0.55600001,2.29E-07,0.926628462,1.60E-06,2.41E-07,1.25E-05
0.55650001,2.24E-07,0.927402334,3.41E-06,2.04E-07,1.10E-05
0.55700001,2.21E-07,0.928112772,3.85E-06,1.72E-07,9.61E-06
0.55750001,2.24E-07,0.928788068,9.27E-06,1.52E-07,8.55E-06
0.55800001,2.29E-07,0.929586319,1.48E-05,1.35E-07,7.57E-06
0.55850001,2.42E-07,0.931213153,0.000233736,1.25E-07,6.87E-06
0.55900001,2.57E-07,0.932952464,0.000428374,1.17E-07,6.25E-06
0.55950001,2.80E-07,0.93457569,0.000251154,1.13E-07,5.83E-06
0.56000001,3.05E-07,0.93631549,4.05E-05,1.10E-07,5.47E-06
0.56050001,3.37E-07,0.938920524,9.26E-06,1.12E-07,5.28E-06
0.56100001,3.70E-07,0.941593843,6.73E-06,1.14E-07,5.12E-06
0.56150001,4.00E-07,0.943820002,4.49E-06,1.19E-07,5.09E-06
0.56200001,4.26E-07,0.945919149,2.41E-06,1.25E-07,5.10E-06
0.56250001,4.30E-07,0.947658542,1.69E-06,1.33E-07,5.22E-06
0.56300001,4.27E-07,0.949283439,1.21E-06,1.42E-07,5.38E-06
0.56350001,4.05E-07,0.95054318,9.66E-07,1.50E-07,5.67E-06
0.56400001,3.79E-07,0.951676766,7.68E-07,1.58E-07,5.99E-06
0.56450001,3.52E-07,0.952386572,6.65E-07,1.61E-07,6.45E-06
0.56500001,3.25E-07,0.953087388,5.84E-07,1.63E-07,6.96E-06
0.56550001,3.07E-07,0.954179431,5.46E-07,1.61E-07,7.62E-06
0.56600001,2.93E-07,0.95545444,5.20E-07,1.59E-07,8.35E-06
0.56650001,2.89E-07,0.957516896,5.23E-07,1.56E-07,9.34E-06
0.56700001,2.90E-07,0.95975767,5.35E-07,1.53E-07,1.04E-05
0.56750001,3.06E-07,0.962360543,5.75E-07,1.55E-07,1.19E-05
0.56800001,3.28E-07,0.965009931,6.25E-07,1.58E-07,1.36E-05
0.56850001,3.73E-07,0.967642524,7.16E-07,1.68E-07,1.59E-05
0.56900001,4.32E-07,0.970180086,8.25E-07,1.81E-07,1.87E-05
0.56950001,5.52E-07,0.972263008,1.00E-06,2.09E-07,2.30E-05
0.57000001,7.05E-07,0.974156136,1.21E-06,2.42E-07,2.85E-05
0.57050001,1.00E-06,0.975635024,1.54E-06,3.04E-07,3.90E-05
0.57100001,1.61E-06,0.976790787,1.91E-06,3.75E-07,5.16E-05
0.57150001,4.03E-06,0.976653379,2.48E-06,4.79E-07,7.21E-05
0.57200001,7.74E-06,0.976222914,3.14E-06,5.76E-07,0.00013047
0.57250001,1.76E-05,0.975394474,4.09E-06,5.86E-07,0.000420483
0.57300001,2.56E-05,0.974546731,5.17E-06,5.70E-07,0.00071669
0.57350001,1.51E-05,0.974062065,6.69E-06,4.74E-07,0.00080621
0.57400001,3.25E-06,0.973808653,8.68E-06,3.70E-07,0.000811091
0.57450001,1.47E-06,0.974705419,1.31E-05,3.01E-07,0.000486172
0.57500001,1.28E-06,0.976042721,1.67E-05,2.43E-07,0.000149604
0.57550001,1.03E-06,0.979035148,1.25E-05,2.12E-07,8.35E-05
0.57600001,7.93E-07,0.982281029,4.72E-05,1.89E-07,6.15E-05
0.57650001,6.97E-07,0.985466145,0.000336931,1.80E-07,4.77E-05
0.57700001,6.32E-07,0.988520744,0.000603112,1.75E-07,3.58E-05
