Wavelength [um],Blue,Green,Red,NIR,Pan
0.627,0.0,0.0002,0.9829,0.0001,0.9784
0.628,0.0,0.0002,0.9821,0.0001,0.9764
0.629,0.0,0.0001,0.9806,0.0001,0.9743
0.63,0.0,0.0001,0.9791,0.0001,0.9728
0.631,0.0,0.0001,0.9747,0.0,0.9682
0.632,0.0,0.0001,0.9708,0.0001,0.964
0.633,0.0,0.0001,0.9673,0.0001,0.9598
0.634,0.0,0.0001,0.9645,0.0001,0.9561
0.635,0.0,0.0001,0.9613,0.0001,0.9524
0.636,0.0,0.0001,0.9577,0.0001,0.9488
0.637,0.0001,0.0001,0.9542,0.0001,0.9457
0.638,0.0001,0.0001,0.9512,0.0001,0.9427
0.639,0.0001,0.0001,0.9489,0.0001,0.9404
0.64,0.0001,0.0001,0.9465,0.0001,0.938
0.641,0.0001,0.0001,0.9457,0.0001,0.9373
0.642,0.0001,0.0002,0.9445,0.0001,0.9364
0.643,0.0001,0.0002,0.9434,0.0001,0.9355
0.644,0.0001,0.0003,0.9423,0.0001,0.9348
0.645,0.0,0.0003,0.9416,0.0001,0.9343
0.646,0.0001,0.0004,0.9405,0.0001,0.9334
0.647,0.0,0.0004,0.9394,0.0001,0.9326
0.648,0.0,0.0005,0.9384,0.0001,0.9319
0.649,0.0,0.0006,0.9376,0.0,0.9315
0.65,0.0,0.0007,0.937,0.0001,0.9312
0.651,0.0,0.0007,0.9351,0.0,0.9292
0.652,0.0,0.0008,0.9339,0.0001,0.9276
0.653,0.0,0.0008,0.9324,0.0001,0.9258
0.654,0.0,0.0008,0.9294,0.0,0.9232
0.655,0.0,0.0008,0.9261,0.0,0.921
0.656,0.0,0.0007,0.9228,0.0,0.9192
0.657,0.0001,0.0006,0.9193,0.0001,0.9169
0.658,0.0017,0.0006,0.9166,0.0001,0.9145
0.659,0.0019,0.0005,0.9149,0.0,0.9119
0.66,0.0001,0.0004,0.914,0.0,0.9096
0.661,0.0,0.0004,0.9153,0.0,0.9089
0.662,0.0,0.0004,0.9156,0.0001,0.9081
0.663,0.0,0.0003,0.915,0.0001,0.9072
0.664,0.0,0.0003,0.9136,0.0001,0.9066
0.665,0.0,0.0003,0.9113,0.0,0.9056
0.666,0.0,0.0002,0.91,0.0,0.9048
0.667,0.0,0.0002,0.9089,0.0,0.9043
0.668,0.0,0.0002,0.9076,0.0,0.9032
0.669,0.0,0.0001,0.9058,0.0,0.9016
0.67,0.0001,0.0002,0.9037,0.0,0.9
0.671,0.0001,0.0001,0.9002,0.0,0.8972
0.672,0.0002,0.0001,0.8968,0.0,0.8941
0.673,0.0002,0.0001,0.8943,0.0,0.8912
0.674,0.0003,0.0001,0.8927,0.0,0.8887
0.675,0.0004,0.0001,0.8915,0.0,0.8859
0.676,0.0005,0.0001,0.8894,0.0001,0.8827
0.677,0.0007,0.0001,0.8868,0.0,0.8802
0.678,0.0015,0.0001,0.8828,0.0,0.8779
0.679,0.0012,0.0001,0.8781,0.0,0.8759
0.68,0.0006,0.0001,0.8735,0.0,0.8741
0.681,0.0005,0.0001,0.8676,0.0,0.8706
0.682,0.0006,0.0001,0.8613,0.0,0.8672
0.683,0.0007,0.0001,0.8528,0.0001,0.8643
0.684,0.0006,0.0001,0.838,0.0001,0.8617
0.685,0.0005,0.0002,0.8131,0.0001,0.8591
0.686,0.0004,0.0002,0.776,0.0001,0.8564
0.687,0.0004,0.0001,0.7284,0.0001,0.8536
0.688,0.0004,0.0001,0.6735,0.0001,0.8504
0.689,0.0004,0.0001,0.6161,0.0001,0.8477
0.69,0.0003,0.0001,0.5565,0.0001,0.8455
0.691,0.0003,0.0002,0.4936,0.0001,0.8438
0.692,0.0003,0.0002,0.4273,0.0001,0.8417
0.693,0.0003,0.0002,0.3606,0.0001,0.8397
0.694,0.0003,0.0002,0.2992,0.0001,0.8379
0.695,0.0013,0.0002,0.2465,0.0001,0.8363
0.696,0.0007,0.0002,0.2007,0.0001,0.8353
0.697,0.0001,0.0002,0.1554,0.0001,0.8341
0.698,0.0001,0.0003,0.1081,0.0001,0.8326
0.699,0.0,0.0003,0.0671,0.0001,0.831
0.7,0.0,0.0003,0.0398,0.0002,0.83
0.701,0.0,0.0004,0.024,0.0002,0.8275
0.702,0.0,0.0004,0.0153,0.0002,0.8253
0.703,0.0,0.0004,0.0103,0.0003,0.8236
0.704,0.0,0.0004,0.0073,0.0004,0.8216
0.705,0.0,0.0004,0.0053,0.0005,0.8193
0.706,0.0,0.0005,0.004,0.0007,0.817
0.707,0.0,0.0005,0.003,0.0009,0.815
0.708,0.0001,0.0005,0.0024,0.0011,0.8137
0.709,0.0001,0.0005,0.0018,0.0015,0.8131
0.71,0.0001,0.0005,0.0015,0.002,0.8115
0.711,0.0001,0.0005,0.0012,0.0026,0.8111
0.712,0.0001,0.0005,0.001,0.0035,0.8107
0.713,0.0001,0.0005,0.0008,0.0046,0.8098
0.714,0.0001,0.0005,0.0007,0.0061,0.8088
0.715,0.0001,0.0005,0.0006,0.0079,0.8075
0.716,0.0001,0.0005,0.0005,0.0099,0.806
0.717,0.0001,0.0005,0.0004,0.012,0.8045
0.718,0.0001,0.0005,0.0004,0.0141,0.803
0.719,0.0001,0.0006,0.0003,0.0162,0.8016
0.72,0.0002,0.0006,0.0003,0.0183,0.8006
0.721,0.0002,0.0006,0.0003,0.0206,0.7984
0.722,0.0002,0.0006,0.0002,0.0232,0.7955
0.723,0.0002,0.0006,0.0002,0.0258,0.7925
0.724,0.0002,0.0006,0.0002,0.0287,0.7902
0.725,0.0002,0.0006,0.0002,0.0318,0.7882
0.726,0.0003,0.0006,0.0002,0.035,0.7858
0.727,0.0003,0.0006,0.0002,0.0381,0.7829
0.728,0.0004,0.0006,0.0001,0.0414,0.78
0.729,0.0004,0.0006,0.0001,0.045,0.7774
0.73,0.0004,0.0006,0.0001,0.0492,0.7749
0.731,0.0004,0.0005,0.0001,0.0542,0.7727
0.732,0.0004,0.0005,0.0001,0.0598,0.7695
0.733,0.0004,0.0005,0.0001,0.0666,0.7663
0.734,0.0004,0.0004,0.0001,0.0747,0.763
0.735,0.0004,0.0004,0.0001,0.0854,0.7596
0.736,0.0004,0.0004,0.0001,0.0994,0.7556
0.737,0.0004,0.0004,0.0001,0.1191,0.7521
0.738,0.0003,0.0004,0.0001,0.1462,0.7486
0.739,0.0003,0.0004,0.0001,0.1833,0.7452
0.74,0.0003,0.0004,0.0001,0.2306,0.7413
0.741,0.0003,0.0004,0.0001,0.2882,0.7388
0.742,0.0003,0.0004,0.0001,0.3529,0.7364
0.743,0.0004,0.0004,0.0001,0.423,0.7343
0.744,0.0004,0.0005,0.0001,0.4954,0.7318
0.745,0.0004,0.0005,0.0001,0.5701,0.729
0.746,0.0004,0.0006,0.0001,0.6488,0.727
0.747,0.0004,0.0007,0.0001,0.7288,0.7248
0.748,0.0004,0.0008,0.0001,0.8062,0.7226
0.749,0.0004,0.0009,0.0001,0.8732,0.7198
0.75,0.0004,0.001,0.0001,0.9263,0.7174
0.751,0.0003,0.001,0.0001,0.9613,0.7138
0.752,0.0003,0.0011,0.0001,0.9826,0.7107
0.753,0.001,0.0011,0.0001,0.9926,0.7075
0.754,0.0046,0.001,0.0001,0.9962,0.7042
0.755,0.0005,0.001,0.0001,0.996,0.7
0.756,0.0002,0.001,0.0001,0.9955,0.6966
0.757,0.0001,0.0009,0.0001,0.9956,0.6927
0.758,0.0001,0.0007,0.0001,0.9966,0.6896
